old_url,action,target_url,source,validation
https://docs.llmeasy.ru/faq/codex/config-toml,redirect,https://docs.bettertoken.ai/faq/codex/config-toml,sitemap,target-in-bettertoken-sitemap
https://docs.llmeasy.ru/faq/codex/gpt-5.5-api-mode,redirect,https://docs.bettertoken.ai/faq/codex/gpt-5.5-api-mode,sitemap,target-in-bettertoken-sitemap
https://docs.llmeasy.ru/faq/codex/model-provider-base-url-wire-api,redirect,https://docs.bettertoken.ai/faq/codex/model-provider-base-url-wire-api,sitemap,target-in-bettertoken-sitemap
https://docs.llmeasy.ru/faq/codex/official-login-third-party-api,redirect,https://docs.bettertoken.ai/faq/codex/official-login-third-party-api,sitemap,target-in-bettertoken-sitemap
https://docs.llmeasy.ru/faq/codex/review-model-reasoning-effort,redirect,https://docs.bettertoken.ai/faq/codex/review-model-reasoning-effort,sitemap,target-in-bettertoken-sitemap
https://docs.llmeasy.ru/faq/codex/sandbox-approval,redirect,https://docs.bettertoken.ai/faq/codex/sandbox-approval,sitemap,target-in-bettertoken-sitemap
https://docs.llmeasy.ru/faq/codex/what-is-codex-cli,redirect,https://docs.bettertoken.ai/faq/codex/what-is-codex-cli,sitemap,target-in-bettertoken-sitemap
https://docs.llmeasy.ru/faq/concepts/claude-code-vs-codex-cli,redirect,https://docs.bettertoken.ai/faq/concepts/claude-code-vs-codex-cli,sitemap,target-in-bettertoken-sitemap
https://docs.llmeasy.ru/faq/concepts/mcp-vs-api-key-base-url,redirect,https://docs.bettertoken.ai/faq/concepts/mcp-vs-api-key-base-url,sitemap,target-in-bettertoken-sitemap
https://docs.llmeasy.ru/faq/concepts/openai-compatible-vs-anthropic-compatible,redirect,https://docs.bettertoken.ai/faq/concepts/openai-compatible-vs-anthropic-compatible,sitemap,target-in-bettertoken-sitemap
https://docs.llmeasy.ru/faq/cursor/custom-openai-api,redirect,https://docs.bettertoken.ai/faq/cursor/custom-openai-api,sitemap,target-in-bettertoken-sitemap
https://docs.llmeasy.ru/faq/cursor/mcp,redirect,https://docs.bettertoken.ai/faq/cursor/mcp,sitemap,target-in-bettertoken-sitemap
https://docs.llmeasy.ru/faq/cursor/rules-agents-cursorignore,redirect,https://docs.bettertoken.ai/faq/cursor/rules-agents-cursorignore,sitemap,target-in-bettertoken-sitemap
https://docs.llmeasy.ru/faq/model-calling/base-url-config,redirect,https://docs.bettertoken.ai/faq/model-calling/base-url-config,sitemap,target-in-bettertoken-sitemap
https://docs.llmeasy.ru/faq/model-calling/max-tokens,redirect,https://docs.bettertoken.ai/faq/model-calling/max-tokens,sitemap,target-in-bettertoken-sitemap
https://docs.llmeasy.ru/faq/model-calling/model-selection-guide,redirect,https://docs.bettertoken.ai/faq/model-calling/model-selection-guide,sitemap,target-in-bettertoken-sitemap
https://docs.llmeasy.ru/faq/model-calling/model-version-identity,redirect,https://docs.bettertoken.ai/faq/model-calling/model-version-identity,sitemap,target-in-bettertoken-sitemap
https://docs.llmeasy.ru/faq/service-assurance/cache-billing,redirect,https://docs.bettertoken.ai/faq/service-assurance/cache-billing,sitemap,target-in-bettertoken-sitemap
https://docs.llmeasy.ru/faq/service-assurance/data-security,redirect,https://docs.bettertoken.ai/faq/service-assurance/data-security,sitemap,target-in-bettertoken-sitemap
https://docs.llmeasy.ru/faq/service-assurance/referral-program,redirect,https://docs.bettertoken.ai/faq/service-assurance/referral-program,sitemap,target-in-bettertoken-sitemap
https://docs.llmeasy.ru/faq/service-assurance/russia-direct-access,redirect,https://docs.bettertoken.ai/faq/service-assurance/russia-direct-access,sitemap,target-in-bettertoken-sitemap
https://docs.llmeasy.ru/faq/token-cost/claude-code-token-usage,redirect,https://docs.bettertoken.ai/faq/token-cost/claude-code-token-usage,sitemap,target-in-bettertoken-sitemap
https://docs.llmeasy.ru/model-updates/claude-fable-5,redirect,https://docs.bettertoken.ai/model-updates/claude-fable-5,sitemap,target-in-bettertoken-sitemap
https://docs.llmeasy.ru/model-updates/claude-sonnet-5,redirect,https://docs.bettertoken.ai/model-updates/claude-sonnet-5,sitemap,target-in-bettertoken-sitemap
https://docs.llmeasy.ru/model-updates/gpt-5.5,redirect,https://docs.bettertoken.ai/model-updates/gpt-5.5,sitemap,target-in-bettertoken-sitemap
https://docs.llmeasy.ru/model-updates/gpt-5.6,redirect,https://docs.bettertoken.ai/model-updates/gpt-5.6,sitemap,target-in-bettertoken-sitemap
